name,handedness,height,weight,avg,HR,height_c,weight_c,BMI
Luis Aguayo,R,69,173,0.236,37,175,78,26
Hal Lanier,R,74,180,0.228,8,188,82,23
Mike Pazik,L,74,195,0,0,188,88,25
Len Randle,B,70,169,0.257,27,178,77,24
Greg Pryor,R,72,180,0.25,14,183,82,24
Jim Traber,L,72,194,0.227,27,183,88,26
Dave Nelson,R,70,160,0.244,20,178,72,23
Lynn Jones,R,69,175,0.252,7,175,79,26
Bryan Little,B,70,160,0.245,3,178,72,23
Ken Suarez,R,69,175,0.227,5,175,79,26
Rick Peters,B,69,170,0.277,2,175,77,25
Ron Stone,L,74,185,0.241,6,188,84,24
Rich Barnes,R,76,186,0,0,193,84,23
Tommie Agee,R,71,195,0.255,130,180,88,27
Bob Bailey,R,73,180,0.257,189,185,82,24
Cap Peterson,R,74,195,0.23,19,188,88,25
Ted Uhlaender,L,74,190,0.263,36,188,86,24
Ted Simmons,B,71,193,0.285,248,180,87,27
Bobby Murcer,L,71,160,0.277,252,180,72,22
Dick Tracewski,R,71,160,0.213,8,180,72,22
Dave Frost,R,78,235,0,0,198,106,27
Mark Souza,L,72,180,0,0,183,82,24
Bill Nahorodny,R,74,200,0.241,25,188,91,26
Bill Madlock,R,71,180,0.305,163,180,82,25
Bob Boone,R,74,195,0.254,105,188,88,25
Rick Jones,L,77,190,0,0,196,86,23
Steve Kemp,L,72,195,0.278,130,183,88,26
Rick Burleson,R,70,165,0.273,50,178,75,24
Jim Dorsey,R,79,190,0,0,201,86,21
Mark Ciardi,R,72,180,0,0,183,82,24
Dennis Burtt,R,72,180,0,0,183,82,24
Carl Taylor,R,74,200,0.266,10,188,91,26
Terry Harmon,R,74,180,0.233,4,188,82,23
Mike Hargrove,L,72,195,0.29,80,183,88,26
Rich Yett,R,74,187,0,0,188,85,24
Steve Hovley,L,70,188,0.258,8,178,85,27
Don Leppert,R,74,220,0.229,15,188,100,28
Matt Williams,R,73,200,0,0,185,91,26
Jim Burton,R,75,195,0,0,191,88,24
Rick Anderson,R,74,210,0,0,188,95,27
Charlie Mitchell,R,75,170,0,0,191,77,21
Bill Paschall,R,72,175,0,0,183,79,24
John Bohnet,B,72,175,0,0,183,79,24
Byron McLaughlin,R,73,175,0,0,185,79,23
Lee May,R,75,195,0.267,354,191,88,24
Luis Quintana,L,74,175,0,0,188,79,22
Sam McDowell,L,77,190,0.154,2,196,86,23
Rick Renick,R,72,188,0.221,20,183,85,25
Jeff Torborg,R,72,195,0.214,8,183,88,26
Dave Campbell,R,73,180,0.213,20,185,82,24
Pat Kelly,L,73,185,0.264,76,185,84,24
Al Weis,B,72,160,0.219,7,183,72,22
Jerry Turner,L,69,180,0.257,45,175,82,27
Rick Auerbach,R,72,165,0.22,9,183,75,22
Keith Macwhorter,R,76,190,0,0,193,86,23
Don Wilson,R,74,195,0.146,1,188,88,25
Jaime Cocanower,R,76,200,0,0,193,91,24
Jeff Sellers,R,73,175,0,0,185,79,23
Sandy Valdespino,L,68,170,0.23,7,173,77,26
Steve Senteney,R,74,205,0,0,188,93,26
Howard Bailey,R,72,195,0,0,183,88,26
Jeff Bettendorf,R,75,180,0,0,191,82,22
Ken Phelps,L,73,209,0.239,123,185,95,28
Cesar Cedeno,R,74,175,0.285,199,188,79,22
Bob Davidson,R,72,185,0,0,183,84,25
Phil Linz,R,73,180,0.235,11,185,82,24
Manny Mota,R,70,160,0.304,31,178,72,23
Brian Snyder,L,75,185,0,0,191,84,23
Steve Renko,R,77,230,0.215,6,196,104,27
Rick Sofield,L,73,195,0.243,9,185,88,26
Carlos Velazquez,R,71,180,0,0,180,82,25
Roger Miller,R,75,200,0,0,191,91,25
Doug DeCinces,R,74,190,0.259,237,188,86,24
John Castino,R,71,175,0.278,41,180,79,24
Dave May,L,70,186,0.251,96,178,84,27
Ron Washington,R,71,155,0.261,20,180,70,22
Billy Grabarkewitz,R,70,165,0.236,28,178,75,24
Willie Aikens,L,75,220,0.271,110,191,100,27
Earl Williams,R,75,215,0.247,138,191,97,27
Willie Mueller,R,76,220,0,0,193,100,27
John Flinn,R,72,175,0,0,183,79,24
Don Hahn,R,73,180,0.236,7,185,82,24
Todd Cruz,R,72,175,0.22,34,183,79,24
Tom Egan,R,76,218,0.2,22,193,99,27
Bob Heise,R,72,175,0.247,1,183,79,24
Tommy Harper,R,69,165,0.257,146,175,75,24
Joe Wallis,B,71,180,0.244,16,180,82,25
Max Alvis,R,71,185,0.247,111,180,84,26
Rico Carty,R,75,200,0.299,204,191,91,25
Mike Cubbage,L,72,180,0.258,34,183,82,24
Les Straker,R,73,193,0,0,185,87,25
Merritt Ranew,L,71,170,0.247,8,180,77,24
Lyman Bostock,L,73,180,0.311,23,185,82,24
Damaso Garcia,R,73,165,0.283,36,185,75,22
Don Kainer,R,75,205,0,0,191,93,26
Don Gordon,R,73,175,0,0,185,79,23
Roy Howell,L,73,190,0.261,80,185,86,25
Boog Powell,L,76,230,0.266,339,193,104,28
Sandy Wihtol,R,73,195,0,0,185,88,26
Sonny Siebert,R,75,190,0.173,12,191,86,24
Jeff Richardson,R,75,185,0,0,191,84,23
Bobby Darwin,R,74,190,0.251,83,188,86,24
Dennis DeBarr,L,74,190,0,0,188,86,24
Dan Driessen,L,71,187,0.267,153,180,85,26
Bruce Miller,R,73,185,0.246,1,185,84,24
Bob Bailor,R,71,170,0.264,9,180,77,24
Tommy Helms,R,70,165,0.269,34,178,75,24
Tony Armas,R,71,182,0.252,251,180,82,25
Willie Horton,R,71,209,0.273,325,180,95,29
Lou Piniella,R,72,182,0.291,102,183,82,25
Butch Hobson,R,73,193,0.248,98,185,87,25
John Wathan,R,74,205,0.262,21,188,93,26
Hal King,L,73,200,0.214,24,185,91,26
Mike Krukow,R,77,205,0.193,5,196,93,24
Andres Mora,R,72,180,0.223,27,183,82,24
Barry Foote,R,75,205,0.23,57,191,93,26
Ed Ott,L,70,190,0.259,33,178,86,27
Alan Wiggins,B,74,160,0.259,5,188,72,21
Ron Clark,R,70,175,0.189,5,178,79,25
Jay Pettibone,R,76,182,0,0,193,82,22
Glen Cook,R,71,180,0,0,180,82,25
Julio Gotay,R,72,180,0.26,6,183,82,24
Gary Alexander,R,74,195,0.23,55,188,88,25
Andre Thornton,R,75,200,0.254,253,191,91,25
Bob Oliver,R,75,205,0.256,94,191,93,26
Bill Castro,R,71,170,0,0,180,77,24
Ed Hodge,L,74,192,0,0,188,87,25
Tom Buskey,R,75,200,0,0,191,91,25
Bruce Taylor,R,72,178,0,0,183,81,24
Stan Thomas,R,74,185,0,0,188,84,24
Bob Robertson,R,73,195,0.242,115,185,88,26
Larry Monroe,R,76,200,0,0,193,91,24
Roger Slagle,R,75,190,0,0,191,86,24
Ollie Brown,R,74,178,0.265,102,188,81,23
Jim Campbell,L,71,175,0,0,180,79,24
Frank Quilici,R,73,170,0.214,5,185,77,22
Curt Kaufman,R,74,175,0,0,188,79,22
Joe Pepitone,L,74,185,0.258,219,188,84,24
Steve Barber,L,72,195,0.115,5,183,88,26
De Wayne Vaughn,R,71,180,0,0,180,82,25
Norm Miller,L,70,185,0.238,24,178,84,27
Bob Galasso,L,73,205,0,0,185,93,27
Rich Wortham,R,72,185,0,0,183,84,25
Bob Chance,L,74,196,0.261,24,188,89,25
Julio Cruz,B,69,165,0.237,23,175,75,24
Bill Sample,R,69,175,0.272,46,175,79,26
Juan Nieves,L,75,175,0,0,191,79,22
Mike Bacsik,R,74,180,0,0,188,82,23
Craig Kusick,R,75,210,0.235,46,191,95,26
Rudy Meoli,L,69,165,0.212,2,175,75,24
Ruppert Jones,L,70,170,0.25,147,178,77,24
Glenn Hoffman,R,73,175,0.242,23,185,79,23
Russ Gibson,R,73,195,0.228,8,185,88,26
Phil Huffman,R,74,180,0,0,188,82,23
Terry Francona,L,73,190,0.274,16,185,86,25
John Bateman,R,75,210,0.23,81,191,95,26
Luis Pujols,R,74,175,0.193,6,188,79,22
Joe Gaines,R,73,190,0.241,21,185,86,25
Doug Rader,R,74,208,0.251,155,188,94,27
Mickey Stanley,R,73,185,0.248,117,185,84,24
Steve Brown,R,77,200,0,0,196,91,24
Rick Lysander,R,74,190,0,0,188,86,24
Phil Bradley,R,72,185,0.286,78,183,84,25
Winston Llenas,R,70,165,0.23,3,178,75,24
Charlie Moore,R,71,180,0.261,36,180,82,25
Ralph Garr,L,71,185,0.306,75,180,84,26
Tommy John,R,75,180,0.157,5,191,82,22
Bruce Benedict,R,73,175,0.242,18,185,79,23
John Ellis,R,74,225,0.262,69,188,102,29
Wes Parker,B,73,180,0.267,64,185,82,24
Mel Stottlemyre,R,72,190,0,0,183,86,26
David Green,R,75,170,0.268,31,191,77,21
Reid Nichols,R,71,165,0.266,22,180,75,23
Rick Reichardt,R,75,210,0.261,116,191,95,26
Luis Tiant,R,72,180,0.164,5,183,82,24
Alex Sanchez,R,74,185,0,0,188,84,24
Broderick Perkins,L,70,180,0.271,8,178,82,26
Leon Roberts,R,75,200,0.267,78,191,91,25
Ray Burris,R,77,200,0.151,1,196,91,24
Len Gabrielson,L,76,210,0.253,37,193,95,26
Johnny Edwards,L,76,220,0.242,81,193,100,27
Paul Wilmet,R,71,170,0,0,180,77,24
Tom Grieve,R,74,190,0.249,65,188,86,24
Bruce Ellingsen,L,72,180,0,0,183,82,24
Bob Forsch,R,76,200,0.213,12,193,91,24
Gorman Heimueller,L,76,195,0,0,193,88,24
Danny Cater,R,72,170,0.276,66,183,77,23
Bill Schroeder,R,74,200,0.24,61,188,91,26
Clay Dalrymple,L,72,190,0.233,55,183,86,26
Carlos May,L,71,200,0.274,90,180,91,28
Reggie Smith,B,72,180,0.287,314,183,82,24
Ron Reed,R,78,215,0.158,0,198,97,25
Fred Howard,R,75,190,0,0,191,86,24
Davey Johnson,R,73,170,0.261,136,185,77,22
Ellis Valentine,R,76,205,0.278,123,193,93,25
Roy White,B,70,160,0.271,160,178,72,23
Mike Brumley,L,70,195,0.229,5,178,88,28
Al Luplow,L,70,175,0.235,33,178,79,25
John Hoover,R,74,190,0,0,188,86,24
Dick Allen,R,71,187,0.292,351,180,85,26
Doug Ault,R,75,200,0.236,17,191,91,25
Mark Wagner,R,72,165,0.243,3,183,75,22
Mike Walters,R,77,203,0,0,196,92,24
Willie Stargell,L,74,188,0.282,475,188,85,24
Steve Carlton,L,76,210,0.201,13,193,95,26
Jake Wood,R,73,163,0.25,35,185,74,21
Del Unser,L,73,180,0.258,87,185,82,24
Bob Brower,R,71,185,0.242,17,180,84,26
Ray Culp,R,72,200,0.123,1,183,91,27
Ivan Murrell,R,74,195,0.236,33,188,88,25
Lee Mazzilli,B,73,180,0.259,93,185,82,24
Garth Iorg,R,71,170,0.258,20,180,77,24
Alan Ashby,B,74,185,0.245,90,188,84,24
Bob Brenly,R,74,210,0.247,91,188,95,27
Ron Blomberg,L,73,195,0.293,52,185,88,26
Jim Rooker,R,72,195,0.201,7,183,88,26
Tim Blackwell,B,71,170,0.228,6,180,77,24
Colby Ward,R,74,185,0,0,188,84,24
Jerry Morales,R,70,155,0.259,95,178,70,22
Davey Lopes,R,69,170,0.263,155,175,77,25
Catfish Hunter,R,72,190,0.226,6,183,86,26
Mario Soto,R,72,174,0.132,1,183,79,24
Jimmy Wynn,R,70,160,0.25,291,178,72,23
Hank Allen,R,72,190,0.241,6,183,86,26
Jim Fregosi,R,73,190,0.265,151,185,86,25
Pepe Frias,R,70,159,0.24,1,178,72,23
Mike Schmidt,R,74,195,0.267,548,188,88,25
Willie Montanez,L,72,170,0.275,139,183,77,23
Rey Quinones,R,71,160,0.243,29,180,72,22
Mike Squires,L,71,185,0.26,6,180,84,26
Champ Summers,L,74,205,0.255,54,188,93,26
Chuck Porter,R,75,187,0,0,191,85,23
Bert Campaneris,R,70,160,0.259,79,178,72,23
Bobby Valentine,R,70,189,0.26,12,178,86,27
Rob Andrews,R,72,185,0.251,3,183,84,25
Tom Haller,L,76,195,0.257,134,193,88,24
Tom Dozier,R,74,190,0,0,188,86,24
Ed Stroud,L,71,180,0.237,14,180,82,25
Ron Swoboda,R,74,195,0.242,73,188,88,25
Harry Spilman,L,73,180,0.237,18,185,82,24
Bob Barton,R,72,175,0.226,9,183,79,24
Daryl Sconiers,L,74,185,0.265,15,188,84,24
Joe Torre,R,74,212,0.297,252,188,96,27
Al Ferrara,R,73,200,0.259,51,185,91,26
Rick Steirer,R,76,200,0,0,193,91,24
Sixto Lezcano,R,70,165,0.271,148,178,75,24
Al Lachowicz,R,75,198,0,0,191,90,25
Dave Nicholson,R,74,215,0.212,61,188,97,28
Freddie Patek,R,65,148,0.242,41,165,67,25
Ken Hubbs,R,74,175,0.247,14,188,79,22
Pepe Mangual,R,70,157,0.242,16,178,71,22
Leron Lee,L,72,196,0.25,31,183,89,27
Tom McCarthy,R,72,180,0,0,183,82,24
Steve Ontiveros,B,72,185,0.274,24,183,84,25
Willie Davis,L,74,180,0.279,182,188,82,23
Tom Lawless,R,71,170,0.207,2,180,77,24
Jerry Moses,R,75,210,0.251,25,191,95,26
Bobby Bonds,R,73,190,0.268,332,185,86,25
Dave McNally,R,71,185,0.133,9,180,84,26
Darrell Brown,B,72,184,0.274,1,183,83,25
Roy Foster,R,72,185,0.253,45,183,84,25
Denis Menke,R,72,185,0.25,101,183,84,25
Hal Breeden,R,74,200,0.243,21,188,91,26
Manny Trillo,R,73,150,0.263,61,185,68,20
Jackie Gutierrez,R,71,175,0.237,4,180,79,24
Jerry Kenney,L,73,170,0.237,7,185,77,22
Fred Kendall,R,73,185,0.234,31,185,84,24
Mike Anderson,R,74,200,0.246,28,188,91,26
Jim Lewis,R,75,190,0,0,191,86,24
Joe Charboneau,R,74,205,0.266,29,188,93,26
Jimmie Schaffer,R,69,170,0.223,11,175,77,25
Junior Kennedy,R,71,175,0.248,4,180,79,24
Wilbur Howard,B,74,170,0.25,6,188,77,22
Rod Gilbreath,R,74,180,0.248,14,188,82,23
Mark Brouhard,R,73,210,0.259,25,185,95,28
Dan Morogiello,L,73,200,0,0,185,91,26
Mike Young,B,74,195,0.247,72,188,88,25
Chris Speier,R,73,175,0.246,112,185,79,23
Gene Michael,B,74,183,0.229,15,188,83,23
Vic Harris,B,71,165,0.217,13,180,75,23
Mike Fischlin,R,73,165,0.22,3,185,75,22
Don Money,R,73,170,0.261,176,185,77,22
Joe Rudi,R,74,200,0.264,179,188,91,26
Jim Rice,R,74,200,0.298,382,188,91,26
Shawn Holman,R,74,185,0,0,188,84,24
Alan Wirth,R,76,190,0,0,193,86,23
Gil Garrido,R,69,150,0.237,1,175,68,22
Marty Perez,R,71,160,0.246,22,180,72,22
Tom Matchick,L,73,173,0.215,4,185,78,23
Jack Perconte,L,70,160,0.27,2,178,72,23
Ed Kirkpatrick,L,71,195,0.238,85,180,88,27
Jerry Grote,R,70,185,0.252,39,178,84,27
Ellie Hendricks,L,73,175,0.22,62,185,79,23
Jim Beauchamp,R,74,190,0.231,14,188,86,24
Terry Wilshusen,R,74,210,0,0,188,95,27
Tito Fuentes,B,71,175,0.268,45,180,79,24
Ron Brand,R,67,167,0.239,3,170,76,26
Leo Cardenas,R,71,150,0.257,118,180,68,21
Art Shamsky,L,73,168,0.253,68,185,76,22
Steve Ellsworth,R,80,220,0,0,203,100,24
Ron Cey,R,70,185,0.261,316,178,84,27
Skip Jutze,R,71,190,0.215,3,180,86,26
Butch Wynegar,B,73,190,0.255,65,185,86,25
Ron LeFlore,R,72,200,0.288,59,183,91,27
Bill Russell,R,72,175,0.263,46,183,79,24
Gene Tenace,R,72,190,0.241,201,183,86,26
Bubba Morton,R,70,175,0.267,14,178,79,25
Ellie Rodriguez,R,71,185,0.245,16,180,84,26
Darrel Chaney,B,74,188,0.217,14,188,85,24
Dick Nen,L,74,200,0.224,21,188,91,26
Bryan Kelly,R,74,195,0,0,188,88,25
Bill Freehan,R,75,203,0.262,200,191,92,25
Steve Nicosia,R,70,185,0.248,11,178,84,27
Ted Savage,R,73,185,0.233,34,185,84,24
Pete Mackanin,R,74,190,0.226,30,188,86,24
Rich Dauer,R,72,180,0.257,43,183,82,24
Mick Kelleher,R,69,176,0.213,0,175,80,26
Rowland Office,L,72,170,0.259,32,183,77,23
Rick Leach,L,73,180,0.268,18,185,82,24
Dwayne Murphy,L,73,185,0.246,166,185,84,24
Larry Harlow,L,74,185,0.248,12,188,84,24
Mike Epstein,L,75,230,0.244,130,191,104,29
Jerry Mumphrey,B,74,185,0.289,70,188,84,24
Don Sutton,R,73,185,0.144,0,185,84,24
Glenn Beckert,R,73,190,0.283,22,185,86,25
Ron Davis,R,72,175,0.233,10,183,79,24
Mike Shannon,R,75,195,0.255,68,191,88,24
Jason Thompson,L,76,200,0.261,208,193,91,24
Wayne Tolleson,B,69,160,0.241,9,175,72,24
John Leister,R,74,200,0,0,188,91,26
Don Cooper,R,73,185,0,0,185,84,24
Mike Jorgensen,L,72,195,0.243,95,183,88,26
Ed Romero,R,71,160,0.247,8,180,72,22
Rick Joseph,R,73,192,0.243,13,185,87,25
Cecil Cooper,L,74,165,0.298,241,188,75,21
Bill Almon,R,75,180,0.254,36,191,82,22
Joe Ferguson,R,74,200,0.24,122,188,91,26
Jeff Jones,R,75,210,0,0,191,95,26
Jerry Terrell,R,71,165,0.253,4,180,75,23
John Poloni,L,77,210,0,0,196,95,25
Dave Revering,L,76,210,0.265,62,193,95,26
Curt Ford,L,70,150,0.245,7,178,68,21
Jerry Dybzinski,R,74,180,0.234,3,188,82,23
Mike Willis,L,74,205,0,0,188,93,26
Bob Burda,L,71,174,0.224,13,180,79,24
Jesse Gonder,L,70,180,0.251,26,178,82,26
Gary Sutherland,R,72,185,0.243,24,183,84,25
Bob Coluccio,R,71,183,0.22,26,180,83,25
Dave Rader,L,71,165,0.257,30,180,75,23
Ron Gardenhire,R,72,175,0.232,4,183,79,24
Bill Sharp,L,70,178,0.255,9,178,81,26
Alan Bannister,R,71,170,0.27,19,180,77,24
Bob Watson,R,72,201,0.295,184,183,91,27
Ken Harrelson,R,74,190,0.239,131,188,86,24
Bobby Wine,R,73,187,0.215,30,185,85,25
Stefan Wever,R,80,245,0,0,203,111,27
John Kennedy,R,72,185,0.225,32,183,84,25
Chico Ruiz,B,72,169,0.24,2,183,77,23
Dave Johnson,R,73,183,0,0,185,83,24
Gail Hopkins,L,70,198,0.266,25,178,90,28
Doug Frobel,L,76,196,0.201,20,193,89,24
Luis Melendez,R,72,165,0.248,9,183,75,22
Jerry Augustine,L,72,183,0,0,183,83,25
Bill Plummer,R,73,190,0.188,14,185,86,25
Buck Rodgers,B,74,190,0.232,31,188,86,24
Phil Niekro,R,73,180,0.169,7,185,82,24
Jeff Holly,L,77,210,0,0,196,95,25
Tom Poquette,L,70,175,0.268,10,178,79,25
Eric Hetzel,R,75,175,0,0,191,79,22
Brian Asselstine,L,73,175,0.254,12,185,79,23
Rick Miller,L,72,175,0.269,28,183,79,24
Ed Charles,R,70,170,0.263,86,178,77,24
Luis Gomez,R,69,150,0.21,0,175,68,22
Dave Lemanczyk,R,76,235,0,0,193,106,29
Al Jones,R,76,210,0,0,193,95,26
Floyd Rayford,R,70,190,0.244,38,178,86,27
Sam Hinds,R,78,215,0,0,198,97,25
Tony Conigliaro,R,75,185,0.264,166,191,84,23
Clay Christiansen,R,77,205,0,0,196,93,24
Jim Barr,R,75,205,0.162,1,191,93,26
Jerry Remy,L,69,165,0.275,7,175,75,24
Larry Rothschild,L,74,180,0,0,188,82,23
Frank Duffy,R,73,180,0.232,26,185,82,24
Gary Lance,B,75,195,0,0,191,88,24
Tom O'Malley,L,72,180,0.256,13,183,82,24
Phil Garner,R,70,175,0.26,109,178,79,25
Larry Pashnick,R,75,205,0,0,191,93,26
Todd Fischer,R,70,170,0,0,178,77,24
